back,front
"<div>It's a statement that broadly defines the strategic intent of a company.</div><div><font size=""1""><br></font></div><div style=""text-align: left;""><font size=""1"">Mission is the strategic role a given company wishes to play within the path set by the vision. I<span style=""text-align: center;"">t is also known as strategic intent.</span></font></div><div style=""text-align: left;""><span style=""text-align: center;""><font size=""1""><br></font></span></div><div style=""text-align: left;""><font size=""1""><span style=""text-align: center;"">E.g. Microsoft mission, according to its vision in the late 80', might have been <i>“to become&nbsp;</i></span><span style=""text-align: center;""><i>the leader in the personal computers business area”</i></span></font></div>",Mission
"<ol><li style=""text-align: left;""><b>Corporate</b> Strategy :: defines in <b>which</b> <u>industries or markets</u> the company is going to compete.<br><br></li><li style=""text-align: left;""><b>Business</b> Strategy :: defines <b>how</b> the company competes within <u>a specific industry or market</u>.<br><br></li><li style=""text-align: left;"">Functional Strategies :: are <u>elaborations and implementations of business strategies</u> through individual functions.</li></ol>",Levels of Strategies
"<div style=""text-align: left;""><font size=""1"">A company's component such that:</font></div><div><ol><li style=""text-align: left;""><font size=""2"">carries out a defined group of <b>products</b>, which aims to a specific group of <b>customers</b>.<br><br></font></li><li style=""text-align: left;""><font size=""2"">has its own <b>competitors</b>.<br><br></font></li><li style=""text-align: left;""><font size=""2"">It can be managed separately from the rest of the company.</font></li><li style=""text-align: left;""><font size=""2"">It can stand alone.<br><br></font></li><li style=""text-align: left;""><font size=""2"">It has distinct objectives, it's a profit <b>centre</b> and has a <b>manager</b> <b>responsible</b> of its <u>strategy/performance</u>.</font></li></ol></div>",Strategic Business Unit (SBU)
"<div style=""text-align: left;""><b>S</b>ocial-cultural</div><div style=""text-align: left;""><b>T</b>echnological</div><div style=""text-align: left;""><b>E</b>conomical</div><div style=""text-align: left;""><b>E</b>cological</div><div style=""text-align: left;""><b>P</b>olitical</div>",STEEP acronym
"<div style=""text-align: left;""><b>P</b>olitical</div><div style=""text-align: left;""><b>E</b>conomical</div><div style=""text-align: left;""><b>S</b>ocial-cultural</div><div style=""text-align: left;""><b>T</b>echnological</div>",PEST acronym
Political<div>Economical</div><div>Social-cultural</div><div>Technological</div><div>Ecological</div><div>Legislation</div>,PESTEL acronym
"<div style=""text-align: left;""><font size=""1"">Macro-environmental analysis studies the factors that create Political, Economical, Technological, Social-cultural, ... trends.</font></div><div style=""text-align: left;""><ul><li><font size=""1"">Choose a target (a group of subjects, customers,...) and an industry. This is because we need to classify trends into opportunities and threats. An opportunity for a target might be a threat for another one.<br></font></li></ul></div><div style=""text-align: left;""><ul><li><font size=""1"">Individuate all the possible factors that can affect the environment. For each one, assign a probability of occurrence [%] and a rating to its impact for the target [-5;+5] (extremely negative impact ... extremely positive impact) w.r.t. to its expected increasing/decreasing in the next 3-5 years.<br></font></li></ul></div><div style=""text-align: left;""><ul><li><font size=""1"">Classify into threats and opportunities according to the graph. The higher is the trend impact (in absolute value), the lower is the required probability in order to consider it (as threat or opportunity).<br></font></li></ul></div>{{16 0 0.jpg}}",STEEP/PEST/PESTEL analysis: procedure
"<ol><li style=""text-align: left;"">Population Demographics</li><li style=""text-align: left;"">Income distribution</li><li style=""text-align: left;"">Social mobility</li><li style=""text-align: left;"">Lifestyle changes</li><li style=""text-align: left;"">Attitude to work or leisure</li><li style=""text-align: left;"">Levels of education</li><li style=""text-align: left;"">Consumer activism</li></ol>",Macro-environmental variables in <u><b>Socio-cultural</b></u> group
"<ol><li style=""text-align: left;"">Business cycle</li><li style=""text-align: left;"">GNP (Gross national product) trends</li><li style=""text-align: left;"">Interest rates, Exchange rates</li><li style=""text-align: left;"">Money supply and inflation</li><li style=""text-align: left;"">Unemployment and avg. income</li><li style=""text-align: left;"">Energy availability and cost</li></ol>",Macro-environmental variables in <b><u>Economic</u></b> group
"<ol><li style=""text-align: left;"">Environmental protection laws<br></li><li style=""text-align: left;"">Compliance to environment protocols</li><li style=""text-align: left;"">Decommissioning costs</li></ol>",Macro-environmental variables in <b><u>Ecological</u></b> group
"<ol><li style=""text-align: left;"">Environmental protection laws<br></li><li style=""text-align: left;"">Compliance to environment protocols</li><li style=""text-align: left;"">Decommissioning costs</li></ol>",Macro-environmental variables in <b><u>Ecological</u></b> group
"<ol><li style=""text-align: left;"">Government spending on research</li><li style=""text-align: left;"">Patent protection</li><li style=""text-align: left;"">New findings / developments</li><li style=""text-align: left;"">Speed of technology transfer</li><li style=""text-align: left;"">Rates of obsolescence</li></ol>",Macro-environmental variables in <b><u>Technological</u></b> group
"<ol><li style=""text-align: left;"">Monopolies legislation</li><li style=""text-align: left;"">Taxation policy</li><li style=""text-align: left;"">Foreign trade regulation</li><li style=""text-align: left;"">Employment law</li><li style=""text-align: left;"">Government stability</li></ol>",<div>Macro-environmental variables in <u><b>Political/legal</b></u> group</div>
